"WHSE","YEAR","MONTH","WEEK","DATE","DEPT_WORKED","CORE_PROCESS","SHIFT_TYPE","SKU_CLASS","STD_TIME","ACTUAL_TIME","INDIRECT_TIME","ONSTD_TIME","WEIGHT","CUBE","CARTONS","PALLET","LINES","TRAILER_CHURN","EFF","WEIGHT_PH","CUBE_PH","CARTONS_PH","PALLET_PH","LINES_PH","TRAILER_PH","CUBE_PER_LINE","CUBE_PER_TRAILER"
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","DAYS","OFFSHORE",77.31,111.23,12.95,96.12,151086.37,13225.32,17952.1,9882,4443,32,80.43,1358.32,118.9,161.4,88.84,39.94,0.29,2.98,413.29
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","DAYS","DOMESTIC",13.87,22.15,4.55,19.62,49548.15,4046.81,2776,576,153,18,70.69,2236.94,182.7,125.33,26,6.91,0.81,26.45,224.82
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","AFTS","OFFSHORE",46.29,71.05,6.33,60.47,91216.1,6132.65,8881.13,6752,4717,21,76.55,1283.83,86.31,125,95.03,66.39,0.3,1.3,292.03
5,22,1,1,2022-01-02,"INBOUND","RECEIVING","AFTS","DOMESTIC",19.35,32.57,2.08,26.82,48201.55,2650.2,2321.5,731,191,15,72.15,1479.94,81.37,71.28,22.44,5.86,0.46,13.88,176.68
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","DAYS","OFFSHORE",84.94,120.12,14.45,104.3,163443.95,12544.81,17016.33,15880,10634,34,81.44,1360.67,104.44,141.66,132.2,88.53,0.28,1.18,368.96
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","DAYS","DOMESTIC",44.28,26.38,0.62,22.65,84524.05,4370.41,3744,889,131,20,195.5,3204.1,165.67,141.93,33.7,4.97,0.76,33.36,218.52
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","AFTS","OFFSHORE",120.03,166.88,11.13,142.85,170462.77,13221.77,23766.9,10183,5913,11,84.03,1021.47,79.23,142.42,61.02,35.43,0.07,2.24,1201.98
5,22,1,1,2022-01-03,"INBOUND","RECEIVING","AFTS","DOMESTIC",31.3,30.73,6.83,27.13,63410.44,2936.17,4142,401,152,5,115.37,2063.47,95.55,134.79,13.05,4.95,0.16,19.32,587.23
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","DAYS","OFFSHORE",93.44,88.43,10.17,76.12,107161.82,10167.34,10067.86,8533,4846,42,122.75,1211.83,114.98,113.85,96.49,54.8,0.47,2.1,242.08
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","DAYS","DOMESTIC",30.29,27.48,0.33,23.8,61129.91,3461.72,3261.5,612,149,18,127.27,2224.52,125.97,118.69,22.27,5.42,0.66,23.23,192.32
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","AFTS","OFFSHORE",105.21,146.28,11.08,126.87,168111.71,12004.14,16178.37,11022.5,7926,8,82.93,1149.25,82.06,110.6,75.35,54.18,0.05,1.51,1500.52
5,22,1,1,2022-01-04,"INBOUND","RECEIVING","AFTS","DOMESTIC",26.15,33.18,0,28.45,59040.98,3614.25,5024,979,217,14,91.92,1779.41,108.93,151.42,29.51,6.54,0.42,16.66,258.16
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","DAYS","OFFSHORE",112.32,143.38,0,125.98,205114.18,17232.45,19431.77,21953,12062,12,89.16,1430.56,120.19,135.53,153.11,84.13,0.08,1.43,1436.04
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","DAYS","DOMESTIC",26.5,25.95,0,22.58,47536.6,3982.19,3021,979,171,17,117.36,1831.85,153.46,116.42,37.73,6.59,0.66,23.29,234.25
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","AFTS","OFFSHORE",73.03,89.33,8.15,78.05,100878.45,8502.49,9311.79,4732,2604,6,93.57,1129.28,95.18,104.24,52.97,29.15,0.07,3.27,1417.08
5,22,1,1,2022-01-05,"INBOUND","RECEIVING","AFTS","DOMESTIC",43.65,45.73,2.27,39.77,37119.44,4001.29,2839,576,126,4,109.76,811.71,87.5,62.08,12.6,2.76,0.09,31.76,1000.32
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","DAYS","OFFSHORE",77.23,117.72,0,102.03,149749.15,11438.94,12973.77,13750,8850,30,75.69,1272.08,97.17,110.21,116.8,75.18,0.25,1.29,381.3
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","DAYS","DOMESTIC",45.11,35.72,0,31.88,47216.96,4223.37,3663,1318,239,18,141.5,1321.86,118.24,102.55,36.9,6.69,0.5,17.67,234.63
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","AFTS","OFFSHORE",79.06,118.87,8.33,102.45,109793.03,7775.36,10129.23,5891.75,2681.75,4,77.17,923.64,65.41,85.21,49.56,22.56,0.03,2.9,1943.84
5,22,1,1,2022-01-06,"INBOUND","RECEIVING","AFTS","DOMESTIC",27.96,27.28,2.25,24.05,18116.45,1977.92,1502,252,73,3,116.26,664.09,72.5,55.06,9.24,2.68,0.11,27.09,659.31
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","DAYS","OFFSHORE",99.78,113.23,7.33,96.43,189764.76,13245.46,14712.75,12740,5521,35,103.47,1675.92,116.98,129.94,112.51,48.76,0.31,2.4,378.44
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","DAYS","DOMESTIC",55.96,41.73,2.67,36.38,76948.05,9170.79,5741,3557,359,24,153.82,1843.95,219.76,137.57,85.24,8.6,0.58,25.55,382.12
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","AFTS","OFFSHORE",109.67,135.13,8.93,116.52,151156.49,10767.69,16700.86,6734,3191,9,94.12,1118.6,79.68,123.59,49.83,23.61,0.07,3.37,1196.41
5,22,1,2,2022-01-07,"INBOUND","RECEIVING","AFTS","DOMESTIC",42.72,34.05,0,28.57,28017.48,2936.63,1413,401,87,4,149.53,822.83,86.24,41.5,11.78,2.56,0.12,33.75,734.16
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","DAYS","OFFSHORE",64.43,75.58,10.45,67.65,97248,8927.49,12600.27,6009,3439,35,95.24,1286.69,118.12,166.71,79.51,45.5,0.46,2.6,255.07
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","DAYS","DOMESTIC",9.81,12.37,1.02,10.8,17916,1227.76,1926,294,41,10,90.83,1448.34,99.25,155.7,23.77,3.31,0.81,29.95,122.78
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","AFTS","OFFSHORE",87.39,114.92,1.23,96.58,102105.26,10032.83,20565.3,6130,2843,4,90.48,888.49,87.3,178.95,53.34,24.74,0.03,3.53,2508.21
5,22,1,2,2022-01-08,"INBOUND","RECEIVING","AFTS","DOMESTIC",39.59,32.95,0.1,28.77,29625.32,2296.98,1578,244,72,2,137.61,899.1,69.71,47.89,7.41,2.19,0.06,31.9,1148.49
5,22,1,2,2022-01-09,"INBOUND","RECEIVING","DAYS","OFFSHORE",54.87,73.55,10.97,63.88,80565.25,8311.59,8294.28,6960,3835,28,85.9,1095.38,113.01,112.77,94.63,52.14,0.38,2.17,296.84
5,22,1,2,2022-01-09,"INBOUND","RECEIVING","DAYS","DOMESTIC",16.11,11.75,0.53,9.42,17153.25,1166.11,991,129,31,9,171.02,1459.85,99.24,84.34,10.98,2.64,0.77,37.62,129.57
