"rowname","ACTUAL_TIME"
"ACTUAL_TIME",1
"ONSTD_TIME",0.997775403239244
"PALLET",0.766652511169791
"STD_TIME",0.729132562598889
"CUBE",0.612333203915442
"CUBE_PER_TRAILER",0.612333203915442
"LINES",0.591007358632555
"CARTONS",0.570440596908682
"WEIGHT",0.449678064992937
"INDIRECT_TIME",0.357859057538814
"CUBE_PER_LINE",0.0971407865667997
"WEIGHT_PH",-0.0698110416333825
"CUBE_PH",-0.0788655851171576
"CARTONS_PH",-0.0989493846308739
"PALLET_PH",-0.143390060875048
"EFF",-0.147863398817572
"LINES_PH",-0.18653784256761
"TRAILER_PH",-0.252223092122578
