"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.00325337005593723,0.00519346752389095,0.626435043825941,0.53105017136799
"STD_TIME",0.0017872013863168,0.00190970703392488,0.935851077975922,0.349382333214269
"ONSTD_TIME",1.15201768921675,0.0020524602907818,561.286225312517,0
"CUBE",2.21626966849623e-05,1.22548142973519e-05,1.80848898622245,0.070573562896086
"CARTONS",1.37591719128505e-05,1.0309171686515e-05,1.33465348441605,0.182033436337451
"PALLET",-0.000939457783624712,0.000797277322808964,-1.17833250331869,0.238704353534325
"LINES",0.0010606147759161,0.00246789319558361,0.429765266103943,0.667379704079332
"CUBE_PH",2.35395881156073e-07,2.22037783909699e-06,0.106016136988562,0.915572603697779
"CARTONS_PH",-2.00004659190223e-06,3.79953640637909e-06,-0.526392269473805,0.598632456794161
"PALLET_PH",-0.00025926151651611,0.000242081915090778,-1.0709660670806,0.28422181810935
"LINES_PH",-0.0011137673225174,0.000597683307249928,-1.86347403216276,0.0624376798550174
