"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.0040019501728607,0.00399258047444587,1.0023467775978,0.316194432268432
"STD_TIME",0.00323886702211089,0.00199377313820804,1.62449125231064,0.104294778719949
"ONSTD_TIME",1.15749932008201,0.00117116902041481,988.328157512258,0
"CUBE",3.71292520264344e-05,1.40747779536439e-05,2.63799913211574,0.00834941916514228
"CARTONS",7.21458096298474e-06,5.64548825598704e-06,1.27793746720377,0.20129385174507
"PALLET",-0.00219313165667568,0.000640834627219107,-3.42230516817224,0.000622801294524436
"LINES",0.0016422303396503,0.000690320501675427,2.37893896482077,0.0173766238844696
"CUBE_PH",-3.69072429378564e-06,1.57860618906505e-05,-0.233796390724372,0.815146661756389
"CARTONS_PH",-9.3938944381581e-06,1.04380825743544e-05,-0.89996360646142,0.36815596565123
"PALLET_PH",0.000148021185156368,0.00083234610327373,0.177836100360391,0.858854412324958
"LINES_PH",-0.00175176300206066,0.000977626446754559,-1.79185312332334,0.0731792945257304
