"rowname","ACTUAL_TIME"
"ACTUAL_TIME",1
"ONSTD_TIME",0.9958009804945
"PALLET",0.701695735566
"STD_TIME",0.661374055997555
"CUBE",0.611346759462081
"CUBE_PER_TRAILER",0.611346759462081
"CUBE_PER_LINE",0.50099387674324
"CARTONS",0.412783406525572
"WEIGHT",0.3877911367966
"INDIRECT_TIME",0.291967747595506
"LINES",0.182629975121315
"WEIGHT_PH",-0.0776508947869133
"CUBE_PH",-0.0828499625213743
"CARTONS_PH",-0.132255049367242
"EFF",-0.149139135110308
"PALLET_PH",-0.18352094990842
"TRAILER_PH",-0.31587371521598
"LINES_PH",-0.334104951597556
