"rowname","ACTUAL_TIME"
"ACTUAL_TIME",1
"ONSTD_TIME",0.998139050747996
"STD_TIME",0.791658601419957
"PALLET",0.770305922376602
"CUBE",0.711456461905098
"CUBE_PER_TRAILER",0.711456461905098
"WEIGHT",0.601789066124847
"CARTONS",0.588673952632243
"LINES",0.533078824319185
"INDIRECT_TIME",0.399801285055195
"CUBE_PER_LINE",0.167135933897054
"CUBE_PH",-0.108959557764217
"EFF",-0.119756496038687
"PALLET_PH",-0.151820279531696
"WEIGHT_PH",-0.161570654516228
"CARTONS_PH",-0.162136797687278
"LINES_PH",-0.206721252145395
"TRAILER_PH",-0.258258524516325
